key,display_name,voivodship,population,area_km2,locker_count,operating_count,count_247,count_accessible,density_per_km2,density_per_100k_people,pct_247,pct_accessible,rank_density_km2,rank_density_100k
powiat Warszawa__mazowieckie,Warszawa (miasto na prawach powiatu),mazowieckie,1793579,517.24,1776,1679,1432,1544,3.4336,99.02,80.63,86.94,1,58
powiat Białystok__podlaskie,Białystok (miasto na prawach powiatu),podlaskie,297585,102.13,270,260,204,222,2.6437,90.73,75.56,82.22,2,104
powiat Kraków__małopolskie,Kraków (miasto na prawach powiatu),małopolskie,780981,326.85,814,777,666,692,2.4904,104.23,81.82,85.01,3,34
powiat Chorzów__śląskie,Chorzów (miasto na prawach powiatu),śląskie,107443,33.24,81,79,70,72,2.4368,75.39,86.42,88.89,4,244
powiat Poznań__wielkopolskie,Poznań (miasto na prawach powiatu),wielkopolskie,533830,261.91,609,590,483,515,2.3252,114.08,79.31,84.56,5,11
powiat Wrocław__dolnośląskie,Wrocław (miasto na prawach powiatu),dolnośląskie,643782,292.82,673,637,536,587,2.2983,104.54,79.64,87.22,6,31
powiat Łódź__łódzkie,Łódź (miasto na prawach powiatu),łódzkie,677286,293.25,598,573,498,522,2.0392,88.29,83.28,87.29,7,128
powiat Świętochłowice__śląskie,Świętochłowice (miasto na prawach powiatu),śląskie,49363,13.31,27,25,22,23,2.0285,54.70,81.48,85.19,8,370
powiat Leszno__wielkopolskie,Leszno (miasto na prawach powiatu),wielkopolskie,63323,31.86,60,59,51,53,1.8832,94.75,85.00,88.33,9,80
powiat Siedlce__mazowieckie,Siedlce (miasto na prawach powiatu),mazowieckie,78258,31.86,60,56,50,51,1.8832,76.67,83.33,85.00,10,233
powiat Lublin__lubelskie,Lublin (miasto na prawach powiatu),lubelskie,339547,147.47,269,260,238,241,1.8241,79.22,88.48,89.59,11,216
powiat Gdańsk__pomorskie,Gdańsk (miasto na prawach powiatu),pomorskie,471525,261.96,466,436,390,407,1.7789,98.83,83.69,87.34,12,59
powiat Zamość__lubelskie,Zamość (miasto na prawach powiatu),lubelskie,63223,30.34,52,52,39,45,1.7139,82.25,75.00,86.54,13,186
powiat Katowice__śląskie,Katowice (miasto na prawach powiatu),śląskie,291774,164.64,277,265,234,242,1.6825,94.94,84.48,87.36,14,77
powiat Bytom__śląskie,Bytom (miasto na prawach powiatu),śląskie,164447,69.44,116,112,103,105,1.6705,70.54,88.79,90.52,15,280
powiat Sosnowiec__śląskie,Sosnowiec (miasto na prawach powiatu),śląskie,198996,91.06,149,147,124,132,1.6363,74.88,83.22,88.59,16,252
powiat Bydgoszcz__kujawsko-pomorskie,Bydgoszcz (miasto na prawach powiatu),kujawsko-pomorskie,346739,175.98,277,266,243,255,1.5740,79.89,87.73,92.06,17,209
powiat Olsztyn__warmińsko-mazurskie,Olsztyn (miasto na prawach powiatu),warmińsko-mazurskie,171853,88.33,138,122,124,124,1.5623,80.30,89.86,89.86,18,203
powiat Gdynia__pomorskie,Gdynia (miasto na prawach powiatu),pomorskie,245867,135.14,202,183,174,182,1.4947,82.16,86.14,90.10,19,188
powiat Ruda Śląska__śląskie,Ruda Śląska (miasto na prawach powiatu),śląskie,137030,77.73,116,114,99,105,1.4923,84.65,85.34,90.52,20,159
powiat Siemianowice Śląskie__śląskie,Siemianowice Śląskie (miasto na prawach powiatu),śląskie,66587,25.50,36,36,34,34,1.4118,54.06,94.44,94.44,21,372
powiat Rzeszów__podkarpackie,Rzeszów (miasto na prawach powiatu),podkarpackie,196821,126.61,176,169,146,149,1.3901,89.42,82.95,84.66,22,117
powiat Toruń__kujawsko-pomorskie,Toruń (miasto na prawach powiatu),kujawsko-pomorskie,201106,115.72,160,156,150,150,1.3826,79.56,93.75,93.75,23,212
powiat Tarnów__małopolskie,Tarnów (miasto na prawach powiatu),małopolskie,108177,72.38,96,94,83,87,1.3263,88.74,86.46,90.63,24,123
powiat Łomża__podlaskie,Łomża (miasto na prawach powiatu),podlaskie,62795,32.67,43,42,38,38,1.3162,68.48,88.37,88.37,25,300
powiat Kalisz__wielkopolskie,Kalisz (miasto na prawach powiatu),wielkopolskie,99761,69.42,90,86,68,71,1.2965,90.22,75.56,78.89,26,109
powiat Gorzów Wielkopolski__lubuskie,Gorzów Wielkopolski (miasto na prawach powiatu),lubuskie,123341,85.72,111,106,94,100,1.2949,89.99,84.68,90.09,27,113
powiat Grudziądz__kujawsko-pomorskie,Grudziądz (miasto na prawach powiatu),kujawsko-pomorskie,94076,57.76,74,68,61,65,1.2812,78.66,82.43,87.84,28,218
powiat Chełm__lubelskie,Chełm (miasto na prawach powiatu),lubelskie,61588,35.28,45,44,42,42,1.2755,73.07,93.33,93.33,29,260
powiat Słupsk__pomorskie,Słupsk (miasto na prawach powiatu),pomorskie,90320,43.15,55,50,42,47,1.2746,60.89,76.36,85.45,30,341
powiat Sopot__pomorskie,Sopot (miasto na prawach powiatu),pomorskie,35562,17.28,22,20,18,18,1.2731,61.86,81.82,81.82,31,338
powiat Radom__mazowieckie,Radom (miasto na prawach powiatu),mazowieckie,210532,111.80,142,134,119,122,1.2701,67.45,83.80,85.92,32,314
powiat Zabrze__śląskie,Zabrze (miasto na prawach powiatu),śląskie,171691,80.40,100,98,88,90,1.2438,58.24,88.00,90.00,33,354
