normalized_name,display_name,population,area_km2,locker_count,operating_count,count_247,count_accessible,density_per_km2,density_per_100k_people,pct_247,pct_accessible,rank_density_km2,rank_density_100k
śląskie,Śląskie,4315906,12333,3951,3841,3542,3607,0.3204,91.55,89.65,91.29,1,6
małopolskie,Małopolskie,3437558,15183,3273,3184,2902,2954,0.2156,95.21,88.66,90.25,2,3
dolnośląskie,Dolnośląskie,2889716,19947,2695,2591,2369,2437,0.1351,93.26,87.90,90.43,3,4
mazowieckie,Mazowieckie,5539015,35558,4774,4563,4115,4262,0.1343,86.19,86.20,89.28,4,9
wielkopolskie,Wielkopolskie,3519716,29826,3612,3535,3144,3226,0.1211,102.62,87.04,89.31,5,1
pomorskie,Pomorskie,2359729,18310,2136,2026,1864,1912,0.1167,90.52,87.27,89.51,6,7
łódzkie,Łódzkie,2415123,18219,1974,1915,1732,1766,0.1083,81.73,87.74,89.46,7,11
podkarpackie,Podkarpackie,2072720,17846,1791,1720,1621,1640,0.1004,86.41,90.51,91.57,8,8
opolskie,Opolskie,936128,9412,865,852,795,809,0.0919,92.40,91.91,93.53,9,5
kujawsko-pomorskie,Kujawsko-Pomorskie,2007499,17972,1576,1527,1428,1452,0.0877,78.51,90.61,92.13,10,12
świętokrzyskie,Świętokrzyskie,1181618,11711,887,868,814,820,0.0757,75.07,91.77,92.45,11,14
lubuskie,Lubuskie,985196,13988,976,951,890,903,0.0698,99.07,91.19,92.52,12,2
lubelskie,Lubelskie,2040908,25122,1522,1472,1383,1400,0.0606,74.57,90.87,91.98,13,15
zachodniopomorskie,Zachodniopomorskie,1651690,22905,1383,1336,1206,1235,0.0604,83.73,87.20,89.30,14,10
warmińsko-mazurskie,Warmińsko-Mazurskie,1389432,24173,1058,988,970,988,0.0438,76.15,91.68,93.38,15,13
podlaskie,Podlaskie,1141168,20187,851,816,728,755,0.0422,74.57,85.55,88.72,16,16
