key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat Biała Podlaska__lubelskie,Biała Podlaska (miasto na prawach powiatu),powiat Biała Podlaska,lubelskie,57194,49.40
powiat Białystok__podlaskie,Białystok (miasto na prawach powiatu),powiat Białystok,podlaskie,297585,102.13
powiat Bielsko-Biała__śląskie,Bielsko-Biała (miasto na prawach powiatu),powiat Bielsko-Biała,śląskie,170303,124.51
powiat Bydgoszcz__kujawsko-pomorskie,Bydgoszcz (miasto na prawach powiatu),powiat Bydgoszcz,kujawsko-pomorskie,346739,175.98
powiat Bytom__śląskie,Bytom (miasto na prawach powiatu),powiat Bytom,śląskie,164447,69.44
powiat Chełm__lubelskie,Chełm (miasto na prawach powiatu),powiat Chełm,lubelskie,61588,35.28
powiat Chorzów__śląskie,Chorzów (miasto na prawach powiatu),powiat Chorzów,śląskie,107443,33.24
powiat Częstochowa__śląskie,Częstochowa (miasto na prawach powiatu),powiat Częstochowa,śląskie,219278,159.71
powiat Dąbrowa Górnicza__śląskie,Dąbrowa Górnicza (miasto na prawach powiatu),powiat Dąbrowa Górnicza,śląskie,118899,188.73
powiat Elbląg__warmińsko-mazurskie,Elbląg (miasto na prawach powiatu),powiat Elbląg,warmińsko-mazurskie,119097,79.82
powiat Gdańsk__pomorskie,Gdańsk (miasto na prawach powiatu),powiat Gdańsk,pomorskie,471525,261.96
powiat Gdynia__pomorskie,Gdynia (miasto na prawach powiatu),powiat Gdynia,pomorskie,245867,135.14
powiat Gliwice__śląskie,Gliwice (miasto na prawach powiatu),powiat Gliwice,śląskie,178186,133.88
powiat Gorzów Wielkopolski__lubuskie,Gorzów Wielkopolski (miasto na prawach powiatu),powiat Gorzów Wielkopolski,lubuskie,123341,85.72
powiat Grudziądz__kujawsko-pomorskie,Grudziądz (miasto na prawach powiatu),powiat Grudziądz,kujawsko-pomorskie,94076,57.76
